tau,time_s,x,z_m,P_Pa,P_bar,T_K,u_m_s,rho_g_kg_m3,y_N2,q_N2_mol_kg,qstar_N2_mol_kg,Pi_N2_bar,y_H2,q_H2_mol_kg,qstar_H2_mol_kg,Pi_H2_bar,y_NH3,q_NH3_mol_kg,qstar_NH3_mol_kg,Pi_NH3_bar,sum_y
0.011421,0.5710500000000001,0.525,0.525,1000264.1982371026,10.002641982371026,473.1500221043766,0.09435356411052769,2.166007566931748,0.2501354931286279,0.02352885040985564,0.023545652759884836,2.5020157848494926,0.7498635071077394,0.01764510930407633,0.017646461858362657,7.50061619724385,9.997636340524268e-07,0.0004705439978685093,0.0004705441106378826,1.000027769842063e-05,1.0000000000000013
0.011421,0.5710500000000001,0.55,0.55,1000250.2921832774,10.002502921832773,473.1500208668551,0.09435204294858322,2.166253897686112,0.2501773136748183,0.02352875749671724,0.02354923490819796,2.5023993110086447,0.7498216865462428,0.017645124867996125,0.017645212086146875,7.500093610532373,9.99778940194513e-07,0.0004705439959212359,0.00047054409903174985,1.0000291770482494e-05,1.0000000000000013
0.011421,0.5710500000000001,0.575,0.575,1000236.3860467352,10.002363860467351,473.15001942541653,0.09435066892424696,2.166441680896877,0.25021027785148753,0.023528648111723432,0.02355199311703865,2.502694240699214,0.7497887223547886,0.01764514474665252,0.01764417810867736,7.499659619467527,9.997937253481347e-07,0.0004705439939609963,0.00047054408725379836,1.0000300626344205e-05,1.0000000000000013
0.011421,0.5710500000000001,0.6,0.6,1000222.4798947693,10.002224798947692,473.15001782794906,0.09434944388264403,2.1665771630941637,0.2502353303255058,0.02352852612256438,0.023554015299315525,2.5029100265546416,0.7497636698664505,0.017645167927068262,0.01764333690204067,7.499304772088243,9.998080450715861e-07,0.0004705439919908251,0.00047054407532355136,1.000030482260243e-05,1.0000000000000013
0.011421,0.5710500000000001,0.625,0.625,1000208.5737837142,10.002085737837142,473.15001611706697,0.09434836946965282,2.166666171208393,0.2502533523349377,0.023528394971029078,0.023555383460552186,2.5030554862352137,0.7497456478431126,0.01764519350780496,0.01764266698931955,7.499020251297066,9.998219511985857e-07,0.0004705439900134224,0.000470544063259122,1.0000304878459876e-05,1.0000000000000016
0.011421,0.5710500000000001,0.65,0.65,1000194.6677597235,10.001946677597235,473.1500143304726,0.0943474471453551,2.166714127481929,0.25026516394063936,0.02352825770220409,0.0235561739093691,2.5031388249944055,0.7497338362238702,0.017645220691316587,0.017642148385478982,7.498797852301569,9.998354919701124e-07,0.00047054398803117676,0.00047054405107727185,1.0000301277054263e-05,1.0000000000000016
0.011421,0.5710500000000001,0.675,0.675,1000180.7618595148,10.001807618595148,473.1500125013041,0.09434667819701567,2.1667260646408164,0.2502715263173986,0.023528116992607484,0.023556457471503894,2.5031676586387928,0.7497274738338908,0.01764524877658178,0.01764176254132504,7.498629959661906,9.998487121686113e-07,0.00047054398604618727,0.0004705440387934693,1.0000294466810562e-05,1.0000000000000016
0.011421,0.5710500000000001,0.7,0.7,1000166.8561110854,10.001668561110854,473.15001065847144,0.09434606375158082,2.166706641263988,0.25027314407514095,0.023527975177241423,0.023556299706506228,2.5031490367867044,0.7497258560632074,0.017645277152019335,0.017641492286762768,7.498509524039304,9.998616532539952e-07,0.00047054398406028484,0.0004705440264219482,1.0000284862810807e-05,1.0000000000000016
0.011421,0.5710500000000001,0.725,0.725,1000152.9505343965,10.001529505343964,473.15000882697706,0.09434560478768887,2.1666601572890736,0.25027066760100114,0.02352783427555115,0.023555761126266877,2.503089466333545,0.749728332524647,0.017645305288690048,0.0176413217735732,7.498430038737588,9.998743535009177e-07,0.00047054398207505244,0.00047054401397576573,1.000027284817615e-05,1.0000000000000016
0.011421,0.5710500000000001,0.75,0.75,1000139.0451420264,10.001390451420264,473.15000702822374,0.09434530214718694,2.1665905695960905,0.2502646954133725,0.02352769601628249,0.023554897414568707,2.5029949350349043,0.7497343046997811,0.017645332733786986,0.01764123641792217,7.498385516126602,9.99886848136777e-07,0.0004705439800918448,0.00047054400146686,1.0000258775455868e-05,1.0000000000000018
